Code,Title,Description,Diagnosis,"T Code","M Code","P Code",Classification,"Cancer Register",RCPath
"49060D - Scar, FB, ? Cyst",,"Skin with a dermal myofibroblastic and fibroblastic proliferation in keeping with a scar. There is a foreign body giant cell reaction but no obvious cyst lining. There is no evidence of dysplasia or malignancy.? The overlying epidermis shows mild acanthosis. The features are in keeping with a ruptured cyst. ","Skin: excision - Scar and foreign body reaction, Ruptured cyst.",t01000,88320dermatofibroma,,,,
88320A-Dermatofibroma,,"Sections show features of a benign dermatofibroma. There is no evidence of atypia, dysplasia or malignancy.","Skin: excision - Dermatofibroma",t01000,88320dermatofibroma,,,,
88320B-Dermatofibroma-ex,,"Skin with a dermatofibroma. There is mild epidermal hyperplasia. There is no evidence of dysplasia or malignancy. The lesion is completely excised in the planes of section examined. ","Skin: excision - Dermatofibroma",t01000,88320dermatofibroma,,,,
88320C-Dermatofibroma-incomple,,"Skin with a dermatofibroma. There is mild epidermal hyperplasia. There is no evidence of dysplasia or malignancy. The lesion is incompletely excised at the lateral and deep resection margins. ","Skin: excision - Dermatofibroma",t01000,88320dermatofibroma,,,,
"88320D-Epithelioid Dermatofibr",,"Skin with a completely excised dermal polypoid lesion abutting the epidermis. The lesion is composed of epitheloid and spindle cells with large neuclei and variable cytoplasm. Lymphocytes are seen through the lesion. At the periphery the lesion is more fibrous but well defined. The epidermis is mildly acanthotic. The features are suggestive of an epithelioid fibrohistiocytoma, however, immunohistochemistry has been requested and a supplementary report will follow. ","Skin: excision - Epithelioid Dermatofibroma ",t01000,88320dermatofibroma,,,,
"88320E-Aneurysmal dermatofibro",,"Skin with mild hyperkeratosis and acanthosis. There is dermal haemorrhage, fibro-histiocytic proliferation, hemosiderin deposition and chronic inflammation. The lesion extends to the lateral resection margin. No melanocytic proliferation is seen. There is no evidence of dysplasia or malignancy. The features are suggestive of an aneurysmal dermatofibroma.","Skin: excision - Aneurysmal dermatofibroma",t01000,88320dermatofibroma,,,,
"88320F-Cellular dermatofibroma",,"Skin with a ill-defined spindle cell lesion in the dermis encroaching on the subcutis. Inflammation is seen but little cellular atypia. The features resemble a cellular fibrohistiocytoma. The lesion extends to the lateral margins. Immunohistochemistry has been performed and a supplementary report will be issued in due course. ","Skin: excision - Cellular Dermatofibroma ",t01000,75760,,,,
"75760-Naevus lipomatosus super",,"Skin with mature adipose tissue in the dermis and forming lobules in the subcutis. There is no evidence of dysplasia or malignancy. The features are those of naevus lipomatosus superficialis. Excision is marginal. ","Skin: excision - Naevus lipomatosus superficialis ",t01000,76130,,,,
"76130-Nodular fasciitis",,"Soft tissue with an ill defined spindle cell mass showing zonation with hypocellular and hypercellular areas. The lesional cells are composed of uniform, plump, immature, spindled to stellate fibroblasts and myofibroblasts without atypia, with a feathery, ""tissue-culture"" like growth pattern. Mitoses are seen but no atypical forms. There are lymphocytes and macrophages, red blood cell extravasation and bands of keloid-type collagen. Vasculature is prominent within the lesion. Walls of small to medium sized vessels are involved by the reactive process at periphery of lesion. The lesion infiltrates adjacent fat. No malignancy is seen. The features are those of Nodular fasciitis. ","Skin: excision - Nodular fasciitis",softtissue,78800dupuytrenscontracture,,,,
"78800-Dupuytren?s contracture ",,"Sections of fibrofatty and tendinous connective tissue show a proliferation of cells with round nuclei and scanty cytoplasm to spindle,shaped cells with indented, elongated nuclei and a moderate amount of cytoplasm set within a fibrous stroma. No malignancy is seen. The features are those of a fibroblastic/ myofibroblastic proliferation and in the right clinical context is in keeping with Dupuytren's Contracture. ","Fibrous tissue: excision - Dupuytren?s contracture ",t01000,88900leiomyoma,,,,
"88900A-Angioleiomyoma ",,"Acral skin with a dermal spindle cell tumour forming fascicles with blunt ended elongated cells. Thre is a prominent vascular pattern throughout the lesion. No atypia is seen. There is no evidence of malignancy. The lesion is incompletely excised in the planes of section examined. The features are those of an Angioleiomyoma. ","Skin: excision - Angioleiomyoma ",t01000,87120,,,,
87120-Glomangioma,,"Skin with a lobulated unencapsulated lesion characterized by prominent ectatic vessels and glomus cells. The lesion is just completely excised. There is no evidence of dysplasia or malignancy. The features are those of a glomangioma.     ","Skin: excision - Glomangioma",,5350tenosynovitisvillous,,,,
5250-Tenosynovitis,,"Sections show thickened and fibrotic tendon with accumulation of mucopolysaccharide resulting in myxoid degeneration focally. Synovium is also noted and does not show hyperplasia. There is chronic inflammation. The features are in keeping with flexor Tenosynovitis. There is no evidence of infection or malignancy. ","Skin: excision - Tenosynovitis",,9350proliferativesynovitis,,,,
"9350-Proliferative synovitis",,"Entire specimen processed. Sections show multiple fragments composed of papillary synovial tissue with chronic inflammatory cell infiltrate.There is no evidence of acute inflammation, neoplasia. No rheumatoid or crystalline arthropathy seen. diagnosis: Proliferative synovitis.","Skin: excision -  PROLIFERATIVE SYNOVITIS",,88900,,,,
"88900B-Pilar leiomyoma ",,"Skin with fascicles of smooth muscle in the dermis with irregular borders. Fusiform cells with longitudinal striation, thin, cigar shaped nuclei with blunt ends. The features are those of a pilar leiomyoma. There is no evidence of malignancy. The lesion is at the peripheral margin.","Skin: excision - Pilar leiomyoma ",t01000,88500lipoma,,,,
88500A-Lipoma,,"Sections show lobules of mature adipose tissue in keeping with a benign lipoma . There is no evidence of malignancy. Excision is marginal. ","Skin: excision - Lipoma",t1a000,88500lipoma,,,,
88500B-Fibrolipoma,,"Sections show lobules of mature adipose tissue interspersed with fibrous tissue consistent with a benign fibrolipoma . There is no evidence of malignancy. Excision is marginal. ","Skin: excision - Fibrolipoma",t1a000,88500lipoma,,,,
"88500C - Lipoma with fat necro",,"Sections show lobules of mature adipose tissue most of which appear unremarkable. In one lobule there is variation in adipose size with numerous single and multinucleated histiocytes with open chromatin. There are no convincing lipoblasts with hyperchromatic scalloped nuclei. No atypical stromal cells are seen. Excision is marginal. The features are unusual and whilst they are not overtly malignant and can be explained by a lipoma showing fat necrosis, focally some areas do give some cause for concern and so this lesion is best regarded as an atypical lipoma; I would therefore advise a complete excision. ","Skin: excision - Lipoma with fat necrosis ",t1a000,88610,,,,
"88610-Angiolipoma ",,"Sections show lobules of mature adipose tissue admixed with numerous thin walled blood vessels some of which contain fibrin thrombi. The features are those of an angiolipoma. There is no evidence of malignancy. Excision is marginal. ","Skin: excision - Angiolipoma ",,88570lipomaspindlecell,,,,
"88750-Spindle cell lipoma ",,"Skin with a deep dermal and subcutaneous lesion composed of an admixture of mature adipocytes and spindle cells. The spindle cells are arranged in short fascicles and are small and elongated and contain bland, uniform nuclei and pale eosinophilic cytoplasm.In areas nuclear palisading is present. The stroma is characterized by the presence of eosinophilic collagen fibres. Numerous mast cells are present. There is no increase in mitoses.The features are in keeping with part of a spindle cell lipoma. ","Skin: excision - Spindle cell lipoma ",t01000,88503liposarcoma,,,,
"88503-Atypical lipomatous tumo",,"The lesion is composed predominantly of mature adipose tissue with scattered atypical stromal cells and scant lipoblasts. Intervening fibrosis is seen in areas and there is marked adipocyte variation.?The features are those of an atypical lipomatous tumor/ lipoma,like well,differentiated liposarcomas (WHO Classification). The excision is marginal. No dedifferentiated areas are seen. There is no evidence of necrosis. ","Skin: excision - Atypical lipomatous tumour/ well diff. Liposarcoma",,88900leiomyoma,,,,
"88900- Leiomyoma",,"Skin with a bland spindle cell tumour in the dermis with blunt ended nuclei and abundant cytoplasm. The spindle cells are arranged in a fascicular pattern. The epidermis is mildly acanthotic. There is no evidence of malignancy. Mitotic figures are evident The lesion extends to the lateral resection margins. The features are those of a cutaneous leiomyoma. ","Skin: excision - Leiomyoma - Skin",t01000,32620,,,,
32620-Haemorrhoids,,"Rectal mucosa with normal glandular eptihelum and a markedly dilated vessel in the lamina propria consistent with rectal Haemorrhoids. No dysplasia or malignancy is seen. ","Skin: excision - Haemorrhoids",t59600,91200haemangioma,,,,
"91200A - Haemangioma partial ",,"Skin with a superficial shave biopsy of part of a lobular capillary hemangioma. There is no evidence of dysplasia or malignancy. ","Skin: excision - Haemangioma partial ",t01000,91200haemangioma,,,,
"91200B-Haemangioma exised ",,"Skin with a completely excised hemangioma. There is no evidence of dysplasia or malignancy. ","Skin: excision - Haemangioma exised ",t01000,91200haemangioma,,,,
"91200C-Massons Tumour ",,"Skin with a deep dilated blood vessel showing Masson's change (Intravascular papillary endothelial hyperplasia); a reactive process following a thrombosed/ traumatised blood vessel. No dysplasia or malignancy is seen. ","Skin: excision - Massons Tumour ",,44020pyogenicgranuloma,,,,
"44020-Pyogenic granuloma ",,"Skin with an incompletely excised ulcerated lobular capillary hemangioma. There is no evidence of dysplasia or malignancy. ","Skin: excision - Pyogenic granuloma ",t01000,24640arteriovenous(cirsoidaneurysm),,,,
"24640-Arteriovenous (cirsoid a",,"Skin with a proliferation of variably sized thin and thick walled vascular channels associated with perivascular inflammation and fibrosis. There is no evidence of dysplasia or malignancy. The lesion is present at the deep resection margin. The features are those of an arteriovenous malformation (cirsoid aneurysm). ","Skin: excision - Arteriovenous (cirsoid aneurysm) ",t01000,76330spidernevus(angioma),,,,
"76330-Spider angioma",,"Skin with superficial dermal vascular ectasia and branching dilated blood vessels in the subepidermal region associated with inflammation. No dysplasia or malignancy is seen. 
The features are in keeping with Naevus Araneus (Spider Angioma).
Cc","Skin: excision - Spider angioma",,91700,,,,
"91700-Lymphangioma ",,"Skin with thick walled and thin walled lymphatic channels in the subcutis in keeping with a lymphangioma. The lesion extends to a peripheral resection margin. ","Skin: excision - Lymphangioma ",t01000,95400neurofibroma,m178,,,
"95400A - Neurotised neavus of ",,"Skin with a bland spindle cell tumour in the dermis with wavy nuclei and scanty cytoplasm. The epidermis mostly absent. There is marked diathermy artefact. Random cytological atypia is seen. The differential diagnosis lies between a neurotised naevus and neurofibroma.? Immunohistochemistry has been requested and a supplementary report will follow","Skin: excision - Neurotised neavus of neurofibroma ",t01000,95400neurofibroma,,,,
"95400B - Neurofibroma",,"Skin with a bland spindle cell tumour in the dermis with wavy nuclei and scanty cytoplasm. The lesion is not connected to the overlying epidermis. There is no evidence of malignancy. The lesion extends to the deep resection margin. 

The features are those of a neurofibroma. ","Skin: excision - Neural ",t01000,95700,ga248,,,
"95400C -Atypical neurofibroma",,"Skin with a spindle cell tumour in the dermis with wavy nuclei and scanty cytoplasm. There is random cytological atypia. The epidermis is mildly acanthotic.?Mitotic figures are not seen. The lesion extends to the lateral resection margins. The features are those of an atypical neurofibroma; such lesions can recurr and therefore a complete excision is advised. ","Skin: excision - Atypical neurofibroma ",t01000,95700,,,,
"Move to 280
95400D - Ancient S",,"A circumscribed nodule with cyst formation, hemorrhage and hyalinization. At there is a spindle cell lesion with prominent cellular?atypia? characterized by hyperchromatic nuclei and coarse clumping of chromatin. No mitotic figures are identified. The features are those of an Ancient Schwannoma. No malignancy is seen.? ","Skin: excision - Ancient Schwannoma ",t01000,95400neurofibroma,,,,
"95400E-Traumatic neuroma ",,"Fibrofatty tissue with a proliferation of nerve bundles with surrounding fibrosis. No malignancy is seen. The features are focal but in keeping with a traumatic neuroma. ","Skin: excision - Traumatic neuroma ",softtissue,1000inflammationacute,,,,
"95400F-Palisaded Encapsulated ",,"Skin with a well circumscribed, partially encapsulated, intradermal nodule comprised of interdigitating spindle cells grouped in distinct fascicles. There is a lack of nuclear pleomorphism and mitoses. The features are in keeping with a Palisaded Encapsulated Neuroma. The lesion is completely excised. ","Skin: excision - Palisaded Encapsulated Neuroma ",t01000,12000,,,,
12000-Fracture,,"Sections of femoral head show cartilaginous cap with thin trabecular bone. The marrow is partly replaced by fat and partly contain haemopoietic stem cells. There is evidence of a fracture site but no evidence of malignancy. The features are those of a fracture site.  dfbfgbfgb",,,,,,,
Osteomyelitis,,"Fragments of mature bone with fibrosis of the marrow, acute inflammation and some remodelling. There are microcalcifications (specimen B). The features are in keeping with Osteomyelitis. Tissue culture is advised. ",,,74970paget'sdiseaseofbone,,,,
"74970-Pagets bone",,"Fragments of mature bone show focal mosaic pattern of lamellar bone, resembles jigsaw puzzle with prominent irregular cement lines; some fragments show thick trabeculae. There is no evidence of malignancy. The feautres are in keeping with Paget?s disease of the bone ",,,43000,rheumatoidarthritis,,,
"Rheumatoid synovitis ",,"Sections of polypoid synovium show neovascularization, fibrin deposition, and numerous inflammatory cells consisting predominantly of plasma cells and lymphocytes. Lymphoid follicles are also seen. No malignancy is seen. The features are those of chronic synovitis and in the right clinical setting raise the possibility of rheumatoid synovitis",,joint,,,,,
AVAL,,"Polypoid fragments of fibrous tissue with inflammatory cell infiltrates, tissue organization, spicules of mature bone and metal particles. No malignancy is seen. 
The features are entirely in keeping with aseptic lymphocytic vasculitis-associated lesions and the formation of pseudotumor-like reactions as a result of a metal hypersensitivity reaction and wear and tear.",,,47830,,,,
"47830-Giant cell tumour of ten",,"The entire specimen has been processed. Sections show a circumscribed, capsulated tumour composed of sheets of histiocyte-like cells with eosinophilic cytoplasm and vesicular nuclei. Scattered osteoclast-like giant cells and some xanthoma cells are seen. There is no evidence of atypia, mitoses, necrosis or malignancy. CONCLUSION: FEATURES ARE OF A GIANT CELL TUMOUR OF THE TENDON SHEATH.",,,d640200gout,,,,
"D640200-Gout ",,"Histologic sections show ulcerated skin with amorphous deposits within the dermis and involving the underlying bone. The large deposits are gray,pink with a fibrillary character, bordered by a thin rim of multinucleated giant cells. Needle,like deposits are also displaced within a fibrous stroma. Little inflammation is present.The features are suggested of a Gouty tophus. Gout is only well developed when stored/fixed in alcohol and not formalin. ","Skin: excision - Gout ",t01000,33600ganglioncyst,,,,
33600-Ganglion,,"Fibrous tissue with focal myxoid change in keeping with a ganglion. No malignancy is seen. ","Soft tissue: Excision: Ganglion",softtissue,,,,,
"Pigmented Villonodular Synovit",,"Synovium with mild hyperplasia of synovial cells. There is focal hemosiderin stained multinucleated giant cells  numerous histiocytes. There is no evidence of acute infection or malignancy. The features are in keeping with Pigmented Villonodular Synovitis. ","Synovium: excision - Pigmented Villonodular Synovitis",,44000granulomatoustenosynovitis,m50030,,,
"44000-Granulomatous tenosynovi",,"Sections of tendon show central cystic degeneration, filled with eosinophilic material. The wall contains numerous ill,defined granulomas with numerous Langhan's cells with lymphocytes. Caseation necrosis in not evident. The features are those of granulomatous tenosynovitis. Special stains have been requested and a supplementary report will follow. ","Tendon- Granulomatous tenosynovitis ","t,17010",,,,,
"Chronic fibrinous bursitis ",,"Skin with deep subcutaneous cystic lesion lined by simple flattened lining and surrounding fibrous wall.? There is no evidence of malignancy. The features are in keeping with a Chronic fibrinous bursitis ","Skin: excision - Chronic fibrinous bursitis ",,"88003sarcoma,

88043sarcomaepithelioid,

88103fibrosarcoma,

88113fibromyxosarcoma,",,,,
"88003A-Spindle cell sarcoma ",,"Skin with a dermal pleomorphic spindle cell tumour abutting the overlying epidermis which is atrophic. There is marked nuclear atypia and numerous mitoses are seen. The lesion extends into the subcutis and lies 1 mm from the deep resection margin. It is free of the lateral resection margins. No lymphovascular invasion is seen.The tumour is positive for SMA and CD10, but negative for CD34, S100, MNF116, Melan A and Desmin. The features are those of a superficial cutaneous pleomorphic spindle cell sarcoma not otherwise specified. Although it shows some features of an atypical fibroxanthoma, the infiltration of the subcutaneous fat excludes this diagnosis. Clinicopathological correlation is advised. ","Skin: excision - Spindle cell sarcoma ",,88003sarcoma,,,,
"88003B-Sarcoma ",,"Skin with a dermal fascicular pattern abutting but not connected to the epidermis showing moderate atypia and 5 mitoses per 10 hpf. The lesion extends to the deep dermis, sparing adnexae and reaching the lateral and deep margins. Immunohistochemistry has been requested and a supplementary report will follow. ","Skin: excision - Sarcoma ",,40000inflamedrectalpolyp,,,,
"4000-Inflamed Rectal Polyp ",,"Rectal mucosa with surface ulceration and acute inflammation. There is reactive atypia of the glandular epithelium but no evidence of malignancy. NO squamous epithelium is present. ","Skin: excision - Inflamed Rectal Polyp ",t59600,8890lichenplanus,,,,
"8890-Lichen planus",,"Non- keratinising epithelium showing irregular acantosis and focal interface change with apoptotic bodies. There is dermal inflammation. No dysplasia or malignancy is seen. The features are in keeping with lichen planus. ",,,2900,,,,
2900-Cholesteatoma,,"The specimen consists of laminated keratin and focal dystrophic calcification. No squamous epithelium is present. The features are not specific but would be consistent with content from a cholesteatoma.",,,"8120lichensimplexchronicus,",,,,
"8120-Lichen simplex",,"Focally keratinising squamous epithelium showing acanthosis. There is no inflammation. There is no dysplasia or malignancy. The features are reactive in nature and represent a keratosis. There is no evidence of dysplasia or malignancy. Special stains have been requested and a supplementary report will follow. ",,,,,,,
"Adeoidal pad",,"Sections show respiratory/ squamous epithelium with underlying reactive lymphoid follicles with  marginal zone hyperplasia. There is no acute inflammation, necrosis or nasopharyngeal carcinoma. No dysplasia or malignancy is seen. The features are those of reactive adenoidal pad. ",,,"4000granuloma,",,,,
4000B-Granuloma,,"The specimen shows calcified specules and a dense nodular infiltrate of plasma cells with mild fibrous tissue. No dysplasia or malignancy is seen The features are in keeping with a chronic ?granuloma?. ",,,,,,,
"4000C-Apical Granuloma",,"The specimen shows fibrous tissue with histiocytes and chronic inflammation. No dysplasia or malignancy is seen. No epithelim is identified. The features are in keeping with an apical granuloma.  ",,,43800,,,,
"43800-Radicular cyst ",,"This is a cyst with a fibrous wall of varying thickness with chronic inflammatory cells and plasma cells. Spicules of cartilage/ bone are noted in the fibrous tissue. Squamous epithelium is noted. The features are in keeping with a radicular cyst. The differential includes a dentigerous cyst which is less likely. No dysplasia or malignancy is seen.This inflamed mucosa with chronic inflammatory cells and plasma cells. Spicules of cartilage/ bone are noted in the fibrous tissue. Squamous epithelium is noted. The features are in keeping with a radicular cyst. No dysplasia or malignancy is seen.",,,88100,,,,
88100B-Fibroma,,"Sections show polypoid oral mucosa with proliferation of stromal tissue in keeping with a fibroma. No dyplasia or malignancy is seen. The lesion is incompletely excised.",,,,,,,
"Amalgam tattoos",,"In the lamina propria there is a finely granular black/brown pigment that encases elastic fibers and the basement membrane of superficial capillaries; it is within the cytoplasm of histiocytes. The features are in keeping with an Amalgam tattoos",,,76810,,,,
76810B-OFEP,,"Polypoid non keratinising squamous epithelium and stroma in keeping with a fibroepithelial polyp. There is no evidence of dysplasia or malignancy. ",,,85610,,,,
"85610A-Warthin tumour",,"This is a multicystic lesion composed of double layer of epithelial cells resting on dense lymphoid stroma with variable germinal centers. Cystic spaces narrowed by polypoid projections of lymphoepithelial elements are noted. There is surface palisading of oncocytic columnar cells with underlying discontinuous basal cells. There is no myoepithelial component. The lesion is surrounded by normal parotid parenchyma but focally reaches a lateral margin. The features are those of a Warthin?s tumour. No malignancy is seen. ",,,d3830,,,,
"3830-Sjogrens syndrome",,"Sections show mucinous glands, skeletal muscle bundles and nerve. There is patchy mild to moderate chronic inflammation. Extensive lymphoid infiltrate with germinal centers, interstitial fibrosis or significant acinar atrophy are not seen. No dysplasia or malignancy is seen. The features are those of mild to moderate patchy chronic inflammation. ",,,89400,,,,
"89400A-Pleomorphic adenoma ",,"Salivary gland tissue with a well circumscribed tumour with a biphasic population of epithelial and mesenchymal cells. The epithelial cells are glandular, spindled or oval, with hyperchromatic nuclei. The myoepithelial layer is cellular in parts. Stroma shows myxoid, hyaline change. No mitotic figures or no necrosis is seen. The features are those of a Pleomorphic adenoma. The excision is marginal. ",,,76800,,,,
"76800 244 -Benign vocal cord p",,"Polypoid tissue covered partly by stratified squamous epithelium. The stroma shows fibrosis, oedema and cystic epithelial lining. No dyplasia or malignancy is seen. The features are those of a benign vocal cord polyp.",,244,33200,,,,
33200-Mucocele,,"Section show fibro-connective tissue with mucinous glands. There is chronic inflammation, fibrosis and dilatation of the ducts. There is no evidence of dysplasia or malignancy.  The features are reactive in nature and in keeping with blocked salivary gland duct.",,,90100,,,,
90100-Fibroadenoma,,"Sections show a rounded contour, overgrowth of fibrous and glandular tissue with myxoid change of the stroma. There is no necrosis, no elastic tissue, no anaplasia, no mitotic figures or increased cellularity.The features are those of a Fibroadenoma. The lesion extends to the peripheral margin.",,,73330,,,,
"73330A Barretts (+IM)",,"Squamous mucosa and columnar-lined mucosa showing intestinal metaplasia. There is mild accompanying inflammation. No dysplasia is noted. The features are those of columnar epithelium lined lower oesophagus.","Squamous mucosa - Columnar epithelium lined lower oesophagus",,73330,,,,
" 73330B Barretts (-IM)",,"Squamous mucosa and columnar-lined mucosa showing no intestinal metaplasia. There is mild accompanying inflammation. No dysplasia is noted. The features either reflect sampling of the oesphago-gastric junction, or are those of a hiatus hernia or columnar epithelium lined lower oesophagus.","Squamous mucosa - Columnar epithelium lined lower oesophagus",Testing,,,,,
"4100A-Oesophageal Chronic",,"Sections of non keratinising squamous epithelium with no basal cell hyperplasia or underlying stroma. There is no active inflammation. No glandular mucosa is identified. No dysplasia is noted. The features are those of squamous epithelium. ","Oesophageal biopsy - Chronic Inflammation",,41000,,,,
"41000B-Oesophageal Acute",,"Sections of non keratinising squamous epithelium with mild basal cell hyperplasia. There are acute neutrophil polymorphs in the epithelium but no fungal hyphae are seen. There is no glandular mucosa. No dysplasia is noted. The features are in keeping with mild acute oesphagitis. ","Oesophageal biopsy  - Acute Oesophagitis",,41000,,,,
"4100C-Oesophageal Eosinophilic",,"Biopsy shows hyperplastic squamous epithelium with scattered intra-epithelial eosinophils (at least 15 eosinophils in two HPF). Subepithelial tissue is unremarkable. There is no evidence of dysplasia or malignancy. ","Oesophageal biopsy - eosinophilc oesophagitis",,41000,,,,
"4100D-Oesophageal Reflux",,"Sections of hyperplastic, tangentially orientated non keratinising squamous mucosa with some basal accentuation and some scattered foci of minimal polymorph infiltration. There is no glandular mucosa. No dysplasia is noted. The features are in keeping with reactive changes. ","Oesophageal biopsy - Refulx changes ",,72040,,,,
"72040-Polyps gastric",,"Section of gastric muscosa show hyperplastic polyps. No dysplasia is noted.","Large intestinal mucosa - Polyps gastric",,100normal,,,,
"00100A-Normal gastric",,"Section of normal gastric muscosa. There is no significant histological abnormality. No dysplasia or malignancy is seen.","Large intestinal mucosa - Normal gastric",63,42000,,,,
"420063F-Inflamed gastric",,"Gastric biopsies showing acute on chronic inflammation. No intestinal metaplasia is seen. There is mild atrophy. No Helicobacter Pylori organisms are seen on Special stains. There is no evidence of dysplasia. The features are those of acute gastritis.","Large intestinal mucosa - Inflamed gastric",63,42000,,,,
"420063G-Gastric Chronic inflam",,"Gastric mucosa showing specialised glands with mild chronic inflammation. There is no Helicobactor Pylori infection, intestinal metaplasia, or atrophy. The features are those of mild non specific chronic gastritis. ","Large intestinal mucosa - Gastric Chronic inflammation",63,72000,,,,
"72000A-Foveolar hyperplasia",,"Sections of gastric mucosa show mild foveloar hyperplasia with chronic inflammation and some dilated glands. There is no evidence of dysplasia or malignancy.","Large intestinal mucosa - Foveolar hyperplasia",63,76800,,,,
"76800A-Being reactive polyp",,"The features are those of a benign reactive gastric polyp.","Large intestinal mucosa - Being reactive polyp",63,76800,,,,
"76800B-Fundic gland polyp",,"Section of gastric mucosa show dilated glands and specialised glands in keeping with a fundic gland polyp. No dysplasia or malignancy is seen.","Large intestinal mucosa - Fundic gland polyp",63,100normal,,,,
"00100B-Stomach - gastritis, co",,"Section of normal gastric muscosa. There is no active inflammation, intestinal metaplasia, atrophy or Helicobacter Pylori. No dysplasia or malignancy is seen.","Large intestinal mucosa - Stomach - gastritis, common pattern",63,42000,,,,
"420063A-Acute on chronic, acut",,"Gastric biopsies showing acute on chronic inflammation. No intestinal metaplasia is seen. There is mild atrophy. No Helicobacter Pylori organisms are seen on Special stains. There is no evidence of dysplasia. The features are those of acute gastritis.","Large intestinal mucosa - Acute on chronic, acute gastritis",63,42000,,,,
"420063B-Stomach (reactive gast",,"Fundic (or antral) mucosa showing reactive foveolar hyperplasia, minimal inflammation and no Helicobactor Pylori. Histological changes consistent with reactive gastropathy.","Large intestinal mucosa - Stomach (reactive gastropathy, common pattern)",63,42000,,,,
"420063C-Bile reflux",,"Antral mucosa showing reactive foveolar hyperplasia, minimal inflammation and no Helicobactor Pylori.Histological changes consistent with reactive gastropathy. Such changes suggest chemical-type injury, e.g. NSAIDS, alcohol or bile reflux.","Large intestinal mucosa - Bile reflux",63,42000,,,,
"420063D-Mild chronic gastritis",,"Gastric mucosa showing minimal foveolar hyperplasia, minimal inflammation and no Helicobactor Pylori. No intestinal metaplasia is seen. There is no atrophy. The features are those of mild chronic gastritis at most.","Large intestinal mucosa - Mild chronic gastritis",63,42000,,,,
"420063E-Helicobacter Pylori in",,"Chronic gastritis characterised by moderate active chronic gastritis. No intestinal metaplasia is seen. There is mild atrophy. Numerous Helicobacter Pylori are seen. There is no evidence of dysplasia. The features are those of Helicobacter Pylori induced, active gastritis.","Large intestinal mucosa - Helicobacter Pylori induced, active gastritis",63,42000,,,,
"420062A-Small bowel (for coeli",,"Surface degeneration with increased IELs, total villous atrophy, crypt hyperplasia and chronic inflammation. CONCLUSION: Malabsorption pattern with total villous atrophy consistent with coeliac disease.",,62,42000,,,,
420062B-Hypersensitivity,,"Hypersensitivity reaction to other proteins, severe bacterial overgrowth tropical sprue and chronic malnutrition show similar changes.",,62,42000,,,,
"420062C-SI malabsorption",,"Sections of small intestinal mucosa show surface degeneration, increased intraepithelial lymphocytes, partial villous atrophy, crypt hyperplasia and chronic inflammation. The features are in keeping with malabsorption pattern with partial villous atrophy. Please note the histological changes are non-specific but may reflect conditions such as coeliac disease, bacterial overgrowth, hypersensitivity reaction to non-gluten proteins, tropical sprue or malnutrition. Clinicopathological correlation is required.","Small intestinal mucosa - malabsorption",62,42000,,,,
"420062D-Infarcted small bowel",,"Sections of small bowel show acute inflammation and mucosal ulceration with transmural haemorrhage and congestion. There is subserosal haemorrhage at the resection margins. There is no evidence of dysplasia or neoplasia. The features are in keeping with small bowel infraction secondary to obstruction.","Small bowel - infarcted small bowel",62,42000,,,,
420062E-Ischaemia,,"Sections of small bowel show acute inflammation and mucosal ulceration with transmural haemorrhage and congestion. There is subserosal haemorrhage at the resection margins. There is no evidence of dysplasia or neoplasia. The features are in keeping with ischaemic small bowel.","Small bowel - ischaemia",62,100normal,,,,
"420062F-Normal duodenum (Brunn",,"Small intestine mucosa with Brunner's glands shows normal villous architecture and no increase in intra-epithelial lymphocytes. There is no evidence of parasites or malignancy. ","Duodenum - normal",62,100normal,,,,
"420062G-Normal duodenum (Brunn",,"Small intestine mucosa without Brunner's glands shows normal villous architecture and no increase in intra-epithelial lymphocytes. There is no evidence of parasites or malignancy. ","Duodenum - normal",62,42000,,,,
"V420062H-Duodenum ? duodenitis",,"Sections of normal small intestinal mucosa with Brunner?s glands. There is mild chronic inflammation.  Normal villous architecture is seen with no increase in intra-epithelial lymphocytes. No  gastric metaplasia, dysplasia or malignancy is seen.","Small intestinal mucosa - normal",62,42000,,,,
"420062I-Duodenum (increase IEL",,"Sections of small intestinal mucosa with no Brunner?s glands. There are focal intra-epithelial lymphocytes but no villus atrophy or other significant histological abnormality. No gastric metaplasia, dysplasia or malignancy is seen.",,62,54600,,,,
"54600A-Acute appendicitis",,"Sections of appendix show mucosal ulceration with minimal (if early) to dense neutrophils in muscularis propria with necrosis, congestion and perivascular neutrophilic infiltrate. Sub-serosal congestion is evident. No granulomas are seen. There is no evidence of dysplasia or malignancy. The features are those of acute appendicitis.","appendix - Acute appendicitis",66,54600,,,,
"54600B-Acute necrotizing appen",,"Sections of appendix show mucosal ulceration with dense neutrophils in muscularis propria with extensive necrosis, congestion and perivascular neutrophilic infiltrate. No granulomas are seen. There is no evidence of dysplasia or malignancy. The features are those of acute necrotizing appendicitis.","appendix - Acute necrotizing appendicitis",66,41000acutesuppurativeappendicitis,,,,
"54600C-ACUTE SUPPURATIVE APPEN",,"Sections from the appendix show features of ACUTE SUPPURATIVE APPENDICITIS. There is no evidence of parasites or neoplasia.","appendix - ACUTE SUPPURATIVE APPENDICITIS",66,54600acutegangrenousappendicitis,,,,
